134,356,134,528,336,528,336,356
660,408,660,495,756,495,756,408
1175,318,1175,503,1365,503,1365,318
1807,422,1807,473,1862,473,1862,422
2289,377,2289,552,2465,552,2465,377
2846,463,2846,550,2953,550,2953,463
175,978,175,1104,320,1104,320,978
638,912,638,1095,850,1095,850,912
1282,962,1282,1006,1332,1006,1332,962
1751,978,1751,1082,1880,1082,1880,978
2256,914,2256,1102,2432,1102,2432,914
2815,1026,2815,1069,2871,1069,2871,1026
202,1424,202,1545,298,1545,298,1424
665,1471,665,1594,761,1594,761,1471
1156,1474,1156,1652,1284,1652,1284,1474
1754,1486,1754,1529,1801,1529,1801,1486
2298,1517,2298,1609,2426,1609,2426,1517
2762,1420,2762,1589,2920,1589,2920,1420
233,2009,233,2051,292,2051,292,2009
656,1916,656,2078,824,2078,824,1916
1188,2001,1188,2096,1307,2096,1307,2001
1716,2003,1716,2111,1844,2111,1844,2003
2216,1949,2216,2098,2395,2098,2395,1949
2769,2011,2769,2096,2879,2096,2879,2011
