107,333,107,578,339,578,339,333
645,388,645,501,768,501,768,388
1150,311,1150,511,1402,511,1402,311
1802,420,1802,476,1864,476,1864,420
2249,364,2249,617,2496,617,2496,364
2835,414,2835,549,2939,549,2939,414
136,955,136,1125,341,1125,341,955
613,883,613,1133,869,1133,869,883
1279,961,1279,1011,1334,1011,1334,961
1756,967,1756,1099,1893,1099,1893,967
2236,904,2236,1143,2444,1143,2444,904
2810,1026,2810,1075,2871,1075,2871,1026
178,1404,178,1555,295,1555,295,1404
626,1464,626,1605,765,1605,765,1464
1124,1448,1124,1655,1307,1655,1307,1448
1751,1481,1751,1524,1805,1524,1805,1481
2290,1512,2290,1637,2435,1637,2435,1512
2721,1398,2721,1607,2953,1607,2953,1398
245,2016,245,2064,303,2064,303,2016
644,1876,644,2122,877,2122,877,1876
1207,2017,1207,2125,1343,2125,1343,2017
1708,1990,1708,2116,1867,2116,1867,1990
2196,1906,2196,2124,2433,2124,2433,1906
2772,1994,2772,2107,2902,2107,2902,1994
