59,296,59,702,444,702,444,296
612,355,612,563,867,563,867,355
1035,240,1035,674,1502,674,1502,240
1750,459,1750,536,1851,536,1851,459
2100,320,2100,735,2619,735,2619,320
2735,410,2735,629,2987,629,2987,410
25,890,25,1284,447,1284,447,890
550,798,550,1203,945,1203,945,798
1240,971,1240,1059,1324,1059,1324,971
1606,894,1606,1180,1927,1180,1927,894
2092,818,2092,1255,2514,1255,2514,818
2758,1057,2758,1127,2846,1127,2846,1057
89,1364,89,1618,392,1618,392,1364
563,1432,563,1715,823,1715,823,1432
989,1399,989,1763,1376,1763,1376,1399
1705,1488,1705,1555,1789,1555,1789,1488
2173,1459,2173,1737,2502,1737,2502,1459
2547,1322,2547,1827,3035,1827,3035,1322
211,2016,211,2091,289,2091,289,2016
504,1752,504,2330,1008,2330,1008,1752
1104,1891,1104,2217,1399,2217,1399,1891
1579,1938,1579,2228,1915,2228,1915,1938
1996,1838,1996,2259,2496,2259,2496,1838
2655,1938,2655,2237,2893,2237,2893,1938
