60,295,60,705,445,705,445,295
617,349,617,560,843,560,843,349
1031,237,1031,675,1505,675,1505,237
1749,457,1749,537,1851,537,1851,457
2101,306,2101,735,2612,735,2612,306
2746,410,2746,631,2985,631,2985,410
22,876,22,1283,451,1283,451,876
550,798,550,1203,945,1203,945,798
1237,969,1237,1059,1325,1059,1325,969
1603,888,1603,1185,1926,1185,1926,888
2088,815,2088,1269,2518,1269,2518,815
2757,1057,2757,1128,2847,1128,2847,1057
87,1364,87,1617,373,1617,373,1364
562,1428,562,1710,826,1710,826,1428
995,1387,995,1772,1399,1772,1399,1387
1703,1487,1703,1556,1790,1556,1790,1487
2155,1455,2155,1739,2505,1739,2505,1455
2527,1316,2527,1821,3049,1821,3049,1316
209,2015,209,2093,290,2093,290,2015
502,1748,502,2328,1012,2328,1012,1748
1108,1927,1108,2216,1395,2216,1395,1927
1576,1938,1576,2229,1919,2229,1919,1938
1992,1837,1992,2310,2495,2310,2495,1837
2661,1947,2661,2235,2904,2235,2904,1947
