90,320,90,593,337,593,337,320
634,392,634,506,767,506,767,392
1132,287,1132,556,1409,556,1409,287
1800,418,1800,477,1864,477,1864,418
2230,352,2230,643,2505,643,2505,352
2835,417,2835,548,2953,548,2953,417
120,950,120,1123,345,1123,345,950
596,850,596,1143,862,1143,862,850
1278,959,1278,1012,1335,1012,1335,959
1750,950,1750,1109,1897,1109,1897,950
2220,872,2220,1150,2477,1150,2477,872
2809,1025,2809,1077,2871,1077,2871,1025
167,1397,167,1551,297,1551,297,1397
621,1465,621,1617,779,1617,779,1465
1109,1436,1109,1655,1319,1655,1319,1436
1750,1480,1750,1525,1805,1525,1805,1480
2275,1493,2275,1645,2438,1645,2438,1493
2709,1380,2709,1622,2964,1622,2964,1380
244,2016,244,2063,303,2063,303,2016
613,1842,613,2119,876,2119,876,1842
1194,2012,1194,2139,1351,2139,1351,2012
1696,1989,1696,2118,1879,2118,1879,1989
2207,1862,2207,2135,2443,2135,2443,1862
2765,1984,2765,2114,2907,2114,2907,1984
