195,410,195,523,359,523,359,410
721,455,721,533,801,533,801,455
1232,366,1232,525,1341,525,1341,366
1804,452,1804,491,1843,491,1843,452
2296,402,2296,550,2397,550,2397,402
2794,491,2794,569,2881,569,2881,491
193,945,193,1060,301,1060,301,945
706,936,706,1061,860,1061,860,936
1289,966,1289,1009,1331,1009,1331,966
1758,994,1758,1058,1852,1058,1852,994
2254,956,2254,1060,2397,1060,2397,956
2774,1032,2774,1075,2815,1075,2815,1032
251,1434,251,1538,337,1538,337,1434
705,1466,705,1555,773,1555,773,1466
1184,1455,1184,1585,1274,1585,1274,1455
1748,1476,1748,1516,1778,1516,1778,1476
2280,1522,2280,1591,2375,1591,2375,1522
2742,1462,2742,1601,2843,1601,2843,1462
277,1976,277,2015,319,2015,319,1976
658,1936,658,2039,809,2039,809,1936
1213,1966,1213,2057,1300,2057,1300,1966
1712,1973,1712,2067,1797,2067,1797,1973
2200,1985,2200,2077,2354,2077,2354,1985
2714,1988,2714,2064,2808,2064,2808,1988
