239,537,239,811,503,811,503,537
586,202,586,415,785,415,785,202
643,864,643,1033,822,1033,822,864
655,1387,655,1606,869,1606,869,1387
699,1932,699,2145,894,2145,894,1932
1055,168,1055,376,1254,376,1254,168
1158,858,1158,1066,1369,1066,1369,858
1211,1370,1211,1623,1454,1623,1454,1370
1271,1872,1271,2041,1469,2041,1469,1872
1528,118,1528,421,1775,421,1775,118
1557,812,1557,1005,1743,1005,1743,812
1715,1415,1715,1644,1940,1644,1940,1415
1777,1891,1777,2128,2000,2128,2000,1891
2020,139,2020,426,2280,426,2280,139
2116,810,2116,1037,2325,1037,2325,810
2266,1956,2266,2153,2493,2153,2493,1956
2292,1398,2292,1582,2497,1582,2497,1398
2622,764,2622,961,2839,961,2839,764
2661,226,2661,406,2814,406,2814,226
