218,534,218,822,511,822,511,534
566,200,566,426,797,426,797,200
635,862,635,1048,836,1048,836,862
650,1404,650,1624,870,1624,870,1404
674,1940,674,2161,904,2161,904,1940
1040,169,1040,386,1257,386,1257,169
1148,829,1148,1082,1372,1082,1372,829
1204,1380,1204,1637,1467,1637,1467,1380
1266,1876,1266,2054,1471,2054,1471,1876
1522,114,1522,441,1788,441,1788,114
1558,804,1558,1014,1746,1014,1746,804
1713,1416,1713,1665,1956,1665,1956,1416
1762,1896,1762,2164,2022,2164,2022,1896
2019,138,2019,439,2300,439,2300,138
2087,802,2087,1050,2330,1050,2330,802
2263,1966,2263,2174,2505,2174,2505,1966
2286,1404,2286,1605,2505,1605,2505,1404
2625,764,2625,979,2850,979,2850,764
2658,235,2658,414,2823,414,2823,235
