182,509,182,883,534,883,534,509
530,172,530,457,841,457,841,172
579,822,579,1128,882,1128,882,822
594,1331,594,1683,926,1683,926,1331
616,1875,616,2217,935,2217,935,1875
984,142,984,453,1327,453,1327,142
1072,753,1072,1142,1478,1142,1478,753
1132,1299,1132,1661,1530,1661,1530,1299
1245,1848,1245,2132,1541,2132,1541,1848
1453,102,1453,479,1832,479,1832,102
1451,754,1451,1058,1807,1058,1807,754
1691,1351,1691,1724,2053,1724,2053,1351
1697,1834,1697,2226,2097,2226,2097,1834
1927,88,1927,506,2350,506,2350,88
2019,776,2019,1113,2396,1113,2396,776
2182,1911,2182,2226,2543,2226,2543,1911
2225,1366,2225,1633,2507,1633,2507,1366
2598,739,2598,1003,2861,1003,2861,739
2588,190,2588,470,2853,470,2853,190
