189,513,189,856,525,856,525,513
544,185,544,437,816,437,816,185
599,829,599,1086,871,1086,871,829
603,1348,603,1666,907,1666,907,1348
627,1891,627,2209,929,2209,929,1891
997,151,997,431,1310,431,1310,151
1082,773,1082,1120,1461,1120,1461,773
1151,1315,1151,1639,1516,1639,1516,1315
1256,1856,1256,2088,1516,2088,1516,1856
1478,101,1478,454,1822,454,1822,101
1468,767,1468,1036,1799,1036,1799,767
1699,1369,1699,1715,2034,1715,2034,1369
1720,1850,1720,2205,2077,2205,2077,1850
1952,99,1952,482,2335,482,2335,99
2035,781,2035,1081,2385,1081,2385,781
2216,1921,2216,2217,2537,2217,2537,1921
2243,1393,2243,1625,2506,1625,2506,1393
2607,747,2607,986,2854,986,2854,747
2606,197,2606,445,2845,445,2845,197
