202,522,202,840,515,840,515,522
549,191,549,426,802,426,802,191
636,849,636,1050,846,1050,846,849
652,1374,652,1623,879,1623,879,1374
662,1926,662,2166,914,2166,914,1926
1025,166,1025,391,1277,391,1277,166
1132,796,1132,1077,1420,1077,1420,796
1205,1355,1205,1637,1492,1637,1492,1355
1267,1870,1267,2058,1481,2058,1481,1870
1519,111,1519,443,1806,443,1806,111
1517,790,1517,1015,1781,1015,1781,790
1713,1406,1713,1693,1989,1693,1989,1406
1743,1889,1743,2175,2050,2175,2050,1889
1997,120,1997,439,2307,439,2307,120
2064,793,2064,1052,2358,1052,2358,793
2263,1936,2263,2191,2514,2191,2514,1936
2282,1402,2282,1612,2506,1612,2506,1402
2626,756,2626,981,2850,981,2850,756
2646,217,2646,413,2846,413,2846,217
