175,506,175,870,532,870,532,506
528,168,528,442,836,442,836,168
579,820,579,1118,879,1118,879,820
594,1338,594,1680,920,1680,920,1338
615,1878,615,2214,933,2214,933,1878
991,143,991,444,1320,444,1320,143
1065,757,1065,1137,1480,1137,1480,757
1129,1299,1129,1656,1526,1656,1526,1299
1250,1852,1250,2117,1535,2117,1535,1852
1455,93,1455,474,1836,474,1836,93
1451,753,1451,1052,1806,1052,1806,753
1689,1354,1689,1727,2050,1727,2050,1354
1701,1841,1701,2220,2096,2220,2096,1841
1933,83,1933,499,2348,499,2348,83
2019,775,2019,1101,2401,1101,2401,775
2190,1918,2190,2224,2540,2224,2540,1918
2234,1371,2234,1628,2505,1628,2505,1371
2603,742,2603,996,2857,996,2857,742
2597,189,2597,457,2855,457,2855,189
