250,550,250,813,497,813,497,550
602,217,602,418,783,418,783,217
650,872,650,1033,811,1033,811,872
660,1408,660,1604,871,1604,871,1408
708,1942,708,2147,895,2147,895,1942
1066,181,1066,378,1256,378,1256,181
1163,868,1163,1069,1370,1069,1370,868
1214,1376,1214,1626,1460,1626,1460,1376
1281,1884,1281,2049,1467,2049,1467,1884
1537,147,1537,409,1756,409,1756,147
1567,822,1567,1007,1744,1007,1744,822
1720,1424,1720,1612,1945,1612,1945,1424
1784,1898,1784,2111,2003,2111,2003,1898
2028,164,2028,429,2282,429,2282,164
2127,826,2127,1039,2327,1039,2327,826
2269,1972,2269,2163,2484,2163,2484,1972
2306,1407,2306,1571,2491,1571,2491,1407
2640,774,2640,963,2838,963,2838,774
2667,251,2667,411,2815,411,2815,251
